qid,mode,tokens_in,verdict
Q1,naive,1694,PASS
Q1,budgeted,559,PASS
Q1,compressed,173,PASS
Q1,cached,730,PASS
Q1,jit,143,PASS
Q1,graph,450,PASS
Q1,okf,362,PASS
Q1,notes,141,PASS
Q1,isolated,1808,PASS
Q1,routed,450,PASS
Q2,naive,1697,PASS
Q2,budgeted,562,PASS
Q2,compressed,235,PASS
Q2,cached,733,PASS
Q2,jit,286,PASS
Q2,graph,437,PASS
Q2,okf,365,PASS
Q2,notes,232,PASS
Q2,isolated,1819,PASS
Q2,routed,437,PASS
Q3,naive,1696,PASS
Q3,budgeted,561,PASS
Q3,compressed,234,PASS
Q3,cached,732,PASS
Q3,jit,285,PASS
Q3,graph,840,PASS
Q3,okf,186,PASS
Q3,notes,231,PASS
Q3,isolated,1792,PASS
Q3,routed,186,PASS
Q4,naive,1696,PASS
Q4,budgeted,561,PASS
Q4,compressed,175,PASS
Q4,cached,732,PASS
Q4,jit,145,PASS
Q4,graph,1054,PASS
Q4,okf,186,PASS
Q4,notes,143,PASS
Q4,isolated,1828,PASS
Q4,routed,186,PASS
Q5,naive,1704,PASS
Q5,budgeted,569,PASS
Q5,compressed,247,PASS
Q5,cached,740,PASS
Q5,jit,326,PASS
Q5,graph,510,PASS
Q5,okf,194,PASS
Q5,notes,272,PASS
Q5,isolated,1845,PASS
Q5,routed,247,PASS
Q6,naive,1693,PASS
Q6,budgeted,558,PASS
Q6,compressed,231,PASS
Q6,cached,729,PASS
Q6,jit,282,PASS
Q6,graph,433,PASS
Q6,okf,183,PASS
Q6,notes,228,PASS
Q6,isolated,1810,PASS
Q6,routed,231,PASS
Q7,naive,1686,FAIL
Q7,budgeted,551,PASS
Q7,compressed,206,PASS
Q7,cached,722,PASS
Q7,jit,211,PASS
Q7,graph,320,PASS
Q7,okf,157,PASS
Q7,notes,157,PASS
Q7,isolated,1770,PASS
Q7,routed,157,PASS
Q8,naive,1688,PASS
Q8,budgeted,553,PASS
Q8,compressed,193,PASS
Q8,cached,724,PASS
Q8,jit,188,PASS
Q8,graph,225,PASS
Q8,okf,152,PASS
Q8,notes,135,PASS
Q8,isolated,1770,PASS
Q8,routed,152,PASS
Q9,naive,1700,PASS
Q9,budgeted,565,PASS
Q9,compressed,208,FAIL
Q9,cached,736,PASS
Q9,jit,220,PASS
Q9,graph,286,PASS
Q9,okf,190,PASS
Q9,notes,167,PASS
Q9,isolated,1796,PASS
Q9,routed,1796,PASS
Q10,naive,1694,PASS
Q10,budgeted,559,PASS
Q10,compressed,237,PASS
Q10,cached,730,PASS
Q10,jit,316,PASS
Q10,graph,500,PASS
Q10,okf,184,PASS
Q10,notes,262,PASS
Q10,isolated,1802,PASS
Q10,routed,1802,PASS
